"test","outer","value_mean","value_sd"
"domlem",1,-118.382883733333,5.95252648128884
"domlem",2,-115.4085998,6.25461714346721
"domlem",3,-114.788084666667,5.68717378595576
"domlem",4,-113.3385764,5.45582301591989
"domlem",5,-112.232883,4.7114518374946
"domlem",6,-111.407840133333,3.93011524043340
"domlem",7,-111.225340533333,3.88682254351324
"domlem",8,-110.0512962,3.65616838699846
"domlem",9,-109.304489266667,3.86542876165926
"domlem",10,-108.941854133333,4.01007938801547
"domlem",11,-108.941854133333,4.01007938801547
"domlem",12,-107.617915533333,7.94153663021526
"domlem",13,-107.477451,7.91654738790856
"domlem",14,-107.2606104,7.89723391968038
"domlem",15,-106.7139002,7.8127387692904
"domlem",16,-105.974426266667,8.57379340602336
"domlem",17,-105.974426266667,8.57379340602336
"domlem",18,-105.8206542,8.35599887757531
"domlem",19,-105.738939866667,8.23868043843234
"domlem_15good",1,-118.451371625,8.84175596251027
"domlem_15good",2,-115.716162625,7.58891525321832
"domlem_15good",3,-115.7069228125,7.58532124856987
"domlem_15good",4,-114.0509036875,6.80450371077147
"domlem_15good",5,-113.7264585,6.72239989301143
"domlem_15good",6,-112.769336375,6.48957370732651
"domlem_15good",7,-112.3380533125,5.61507901505133
"domlem_15good",8,-110.819708,4.30750344849995
"domlem_15good",9,-109.7791596,5.09360770790014
"domlem_15good",10,-109.275481533333,4.96379139941164
"domlem_15good",11,-108.9333332,4.16643163110447
"domlem_15good",12,-108.9345428,4.16626476871848
"domlem_15good",13,-108.379812333333,4.74047459053515
"domlem_15good",14,-107.932543,3.96651892707397
"domlem_15good",15,-107.037697666667,4.74931664487105
"domlem_15good",16,-106.783318333333,4.63355754681858
"domlem_15good",17,-107.364977666667,5.32840624227362
"domlem_15good",18,-107.342569666667,5.29800582161067
"domlem_15good",19,-107.891437,6.3591422702649
"domlem_conf06",1,-122.829337714286,3.94654329987796
"domlem_conf06",2,-120.110350571429,7.32807341656186
"domlem_conf06",3,-117.572528857143,7.3755090251641
"domlem_conf06",4,-117.368070285714,7.01854909437361
"domlem_conf06",5,-114.280518714286,5.4049385123969
"domlem_conf06",6,-115.275542142857,4.55779396712764
"domlem_conf06",7,-114.122886857143,5.03170771315844
"domlem_conf06",8,-113.303351857143,4.28897001329979
"domlem_conf06",9,-113.239206428571,4.17725422734328
"domlem_conf06",10,-112.675216285714,4.15034157978299
"domlem_conf06",11,-111.831794142857,4.22494660795425
"domlem_conf06",12,-110.694012285714,5.35841610186647
"domlem_conf06",13,-110.289558714286,5.78629223072227
"domlem_conf06",14,-109.870960571429,5.41386354741239
"domlem_conf06",15,-108.136836285714,3.73101965711987
"domlem_conf06",16,-108.297034,3.98384020476152
"domlem_conf06",17,-108.297034,3.98384020476152
"domlem_conf06",18,-107.592085142857,2.96888198331686
"domlem_conf06",19,-107.592085142857,2.96888198331686
"domlem_conf06_15",1,-115.689588714286,8.76382432639537
"domlem_conf06_15",2,-115.103350428571,8.8135578219735
"domlem_conf06_15",3,-112.548163714286,9.8584875730363
"domlem_conf06_15",4,-111.221158,9.04520544007972
"domlem_conf06_15",5,-111.860977428571,10.8916577898486
"domlem_conf06_15",6,-111.860977428571,10.8916577898486
"domlem_conf06_15",7,-110.633824,8.29134310237385
"domlem_conf06_15",8,-110.633824,8.29134310237385
"domlem_conf06_15",9,-109.185263,7.86339045059875
"domlem_conf06_15",10,-109.278857142857,7.9477766583429
"domlem_conf06_15",11,-109.278857142857,7.9477766583429
"domlem_conf06_15",12,-109.278857142857,7.9477766583429
"domlem_conf06_15",13,-112.309264428571,10.4635531611310
"domlem_conf06_15",14,-111.423009428571,9.13045456028696
"domlem_conf06_15",15,-110.395193428571,8.33676388592998
"domlem_conf06_15",16,-111.533468714286,9.93794314233973
"domlem_conf06_15",17,-110.814247428571,9.7666290521401
"domlem_conf06_15",18,-108.654185142857,8.64766981145899
"domlem_conf06_15",19,-108.668430571429,8.68073453072636
"domlem_conf08",1,-116.150098714286,9.08369105999936
"domlem_conf08",2,-112.431332857143,3.99421907410358
"domlem_conf08",3,-110.885581714286,6.37852479951126
"domlem_conf08",4,-110.163947714286,5.99995166506008
"domlem_conf08",5,-110.193159571429,5.966746337811
"domlem_conf08",6,-109.413316571429,5.59212845694511
"domlem_conf08",7,-108.565484428571,5.33780786894773
"domlem_conf08",8,-108.565484428571,5.33780786894773
"domlem_conf08",9,-108.565484428571,5.33780786894773
"domlem_conf08",10,-108.831895571429,5.2802308380733
"domlem_conf08",11,-108.831895571429,5.2802308380733
"domlem_conf08",12,-108.173469714286,4.63459958560408
"domlem_conf08",13,-107.412195857143,4.34108571161702
"domlem_conf08",14,-107.412195857143,4.34108571161702
"domlem_conf08",15,-107.412195857143,4.34108571161702
"domlem_conf08",16,-107.128660714286,4.24938774375543
"domlem_conf08",17,-105.663973857143,4.69196066395867
"domlem_conf08",18,-105.663973857143,4.69196066395867
"domlem_conf08",19,-105.663973857143,4.69196066395867
"domlem_conf08_15",1,-117.666970571429,8.00418008336108
"domlem_conf08_15",2,-116.525107714286,7.36054255372534
"domlem_conf08_15",3,-109.906189428571,10.0138880351173
"domlem_conf08_15",4,-108.711705285714,7.37315102932721
"domlem_conf08_15",5,-108.778742714286,7.32517399108146
"domlem_conf08_15",6,-108.778742714286,7.32517399108146
"domlem_conf08_15",7,-109.835095714286,8.29980406893353
"domlem_conf08_15",8,-108.838181571429,7.35528837794164
"domlem_conf08_15",9,-108.532529714286,7.28775708184896
"domlem_conf08_15",10,-108.532529714286,7.28775708184896
"domlem_conf08_15",11,-108.379979857143,7.08344336873392
"domlem_conf08_15",12,-108.379979857143,7.08344336873392
"domlem_conf08_15",13,-108.265330142857,6.94052674239128
"domlem_conf08_15",14,-106.419321,8.29768437925244
"domlem_conf08_15",15,-106.419321,8.29768437925244
"domlem_conf08_15",16,-106.419321,8.29768437925244
"domlem_conf08_15",17,-106.419321,8.29768437925244
"domlem_conf08_15",18,-106.419321,8.29768437925244
"domlem_conf08_15",19,-105.544273285714,8.65263615181839
"domlem_multirules",1,-119.050273,6.8382777194524
"domlem_multirules",2,-118.112408857143,5.77361990002175
"domlem_multirules",3,-116.400889714286,5.33280270318925
"domlem_multirules",4,-117.308378,5.23402860217089
"domlem_multirules",5,-115.256931,4.07679530284462
"domlem_multirules",6,-114.780539,3.72610076803075
"domlem_multirules",7,-112.028907857143,5.78591762215031
"domlem_multirules",8,-112.028907857143,5.78591762215031
"domlem_multirules",9,-112.028907857143,5.78591762215031
"domlem_multirules",10,-112.028907857143,5.78591762215031
"domlem_multirules",11,-110.502174571429,5.20994450278081
"domlem_multirules",12,-110.357971428571,4.89065323771743
"domlem_multirules",13,-110.357971428571,4.89065323771743
"domlem_multirules",14,-110.357971428571,4.89065323771743
"domlem_multirules",15,-109.462713285714,5.33066312689571
"domlem_multirules",16,-107.600125714286,3.01722425598865
"domlem_multirules",17,-107.600125714286,3.01722425598865
"domlem_multirules",18,-107.600125714286,3.01722425598865
"domlem_multirules",19,-108.123728,3.84051933463019
"domlem_multirules_15",1,-112.132002428571,9.01998746553055
"domlem_multirules_15",2,-111.040624,7.8215619473239
"domlem_multirules_15",3,-110.035465857143,5.75761639160048
"domlem_multirules_15",4,-109.619575285714,5.27209700650699
"domlem_multirules_15",5,-109.619575285714,5.27209700650699
"domlem_multirules_15",6,-110.944160428571,7.2281537277948
"domlem_multirules_15",7,-109.888878571429,5.52358947808925
"domlem_multirules_15",8,-110.751347142857,6.61586158333852
"domlem_multirules_15",9,-110.888853428571,6.45084329453813
"domlem_multirules_15",10,-110.170465,5.48405298601418
"domlem_multirules_15",11,-110.170465,5.48405298601418
"domlem_multirules_15",12,-110.186242,5.47245409801745
"domlem_multirules_15",13,-109.201790571429,5.08984962993561
"domlem_multirules_15",14,-108.406319857143,6.81845463256236
"domlem_multirules_15",15,-107.335937142857,5.51175374586635
"domlem_multirules_15",16,-107.016113857143,5.0005575437946
"domlem_multirules_15",17,-105.285061714286,6.45987462976818
"domlem_multirules_15",18,-108.968856,7.10164956951003
"domlem_multirules_15",19,-107.568618,5.3211782627715
