"test","outer","value_mean","value_sd"
"domlem",1,-57.1021182,34.3000298909132
"domlem",2,-33.2785151333333,26.6138555911289
"domlem",3,-26.7333599333333,19.7127168432325
"domlem",4,-22.5676494,16.4927819760700
"domlem",5,-20.9630547333333,15.8742993222984
"domlem",6,-19.5619251333333,14.9225028920787
"domlem",7,-18.3127061333333,14.4011699088116
"domlem",8,-18.0539160666667,14.2814042703442
"domlem",9,-17.0910692666667,14.1168254297509
"domlem",10,-16.4502900666667,13.8024873449515
"domlem",11,-16.0269632666667,13.3887870646373
"domlem",12,-15.5901926666667,13.2104681898574
"domlem",13,-15.1109132,13.2183288445994
"domlem",14,-14.9062914666667,13.2036142397357
"domlem",15,-14.547313,13.1566542381405
"domlem",16,-14.2327666,12.7150319411074
"domlem",17,-13.6977456666667,12.2118732640765
"domlem",18,-13.0506948666667,11.2681470954774
"domlem",19,-12.5685863333333,10.1798567362726
"domlem_15good",1,-38.2232195,14.588970659907
"domlem_15good",2,-24.5371284,8.28215856648276
"domlem_15good",3,-19.9513656,7.5268387849961
"domlem_15good",4,-18.6608262,7.75523528998006
"domlem_15good",5,-17.076874,7.13884631559341
"domlem_15good",6,-22.8914775,19.063557721105
"domlem_15good",7,-20.0362825,14.4483068002074
"domlem_15good",8,-20.1277876,13.3457643328608
"domlem_15good",9,-20.5040349,11.8332846080926
"domlem_15good",10,-19.5087545,10.9742488864605
"domlem_15good",11,-18.6472462,11.3529971766628
"domlem_15good",12,-18.6934739,10.9371952611181
"domlem_15good",13,-17.5962933,11.2918425642148
"domlem_15good",14,-17.3922448,10.500780396046
"domlem_15good",15,-17.2738013,10.9235544956584
"domlem_15good",16,-16.7772838,11.0298764463055
"domlem_15good",17,-16.1434512,11.2079275848533
"domlem_15good",18,-15.940786,11.8862822240528
"domlem_15good",19,-15.6578609,11.1787388347021
"domlem_conf06",1,-67.0678777142857,55.9215435663271
"domlem_conf06",2,-28.6859012857143,13.2791253060016
"domlem_conf06",3,-23.74067,9.99055905081836
"domlem_conf06",4,-22.2840837142857,9.86083390131463
"domlem_conf06",5,-20.866824,9.55352764004815
"domlem_conf06",6,-20.1373822857143,9.87658641462715
"domlem_conf06",7,-19.091967,9.71963158082092
"domlem_conf06",8,-18.6699311428571,9.99353694264317
"domlem_conf06",9,-17.5913405714286,9.33931599404187
"domlem_conf06",10,-17.4363158571429,9.47504099645645
"domlem_conf06",11,-16.4610302857143,9.3718831719019
"domlem_conf06",12,-16.0818202857143,9.55694444029617
"domlem_conf06",13,-15.804952,9.40900146529127
"domlem_conf06",14,-14.8109081428571,9.72242498709884
"domlem_conf06",15,-14.3395748571429,9.94580094086182
"domlem_conf06",16,-14.2293701428571,10.0893950327518
"domlem_conf06",17,-14.1391777142857,10.2108480342311
"domlem_conf06",18,-14.0649931428571,10.3146197871383
"domlem_conf06",19,-13.9414488571429,10.2964441445575
"domlem_conf06_15",1,-33.3962954285714,17.9738099331026
"domlem_conf06_15",2,-21.6499101428571,9.55347906612112
"domlem_conf06_15",3,-23.2971384285714,15.3552926025753
"domlem_conf06_15",4,-22.6507727142857,15.8982439665113
"domlem_conf06_15",5,-22.3445155714286,15.5654864833351
"domlem_conf06_15",6,-22.2202142857143,15.6445917263171
"domlem_conf06_15",7,-20.5266428571429,14.3986622613434
"domlem_conf06_15",8,-19.9252234285714,13.9305077034377
"domlem_conf06_15",9,-19.662654,14.3578869231931
"domlem_conf06_15",10,-19.0614117142857,15.2854194259929
"domlem_conf06_15",11,-18.7312431428571,15.6316220501893
"domlem_conf06_15",12,-18.2893557142857,15.9501049243676
"domlem_conf06_15",13,-18.0625647142857,16.0226924842447
"domlem_conf06_15",14,-16.9056645714286,14.9135739073445
"domlem_conf06_15",15,-16.8479851428571,14.874452089352
"domlem_conf06_15",16,-16.4851408571429,15.0040117154660
"domlem_conf06_15",17,-16.6896524285714,14.8773329345508
"domlem_conf06_15",18,-16.5995575714286,14.9425424783725
"domlem_conf06_15",19,-16.2979322857143,15.0883296751111
"domlem_conf08",1,-48.7560665714286,27.1067322035877
"domlem_conf08",2,-32.7024417142857,23.3177420790543
"domlem_conf08",3,-28.9496242857143,21.2563157727531
"domlem_conf08",4,-27.7729067142857,20.9741811392915
"domlem_conf08",5,-25.8233517142857,19.7676985000236
"domlem_conf08",6,-24.3998772857143,18.6342589454825
"domlem_conf08",7,-23.170106,17.7888355684433
"domlem_conf08",8,-22.1304985714286,17.5581479005786
"domlem_conf08",9,-21.4327464285714,17.4716317941869
"domlem_conf08",10,-20.6072305714286,16.9096525346179
"domlem_conf08",11,-20.1274768571429,17.2993402834975
"domlem_conf08",12,-18.6913587142857,15.3075909700021
"domlem_conf08",13,-17.6407312857143,14.9121307943073
"domlem_conf08",14,-17.5495964285714,15.0150785435337
"domlem_conf08",15,-16.9817278571429,15.2221510031388
"domlem_conf08",16,-16.7189231428571,15.1055069093252
"domlem_conf08",17,-16.5608698571429,14.9501756327416
"domlem_conf08",18,-16.4586811428571,14.8479020230766
"domlem_conf08",19,-16.3804402857143,14.8835390089864
"domlem_conf08_15",1,-21.42997,10.2023700329941
"domlem_conf08_15",2,-19.7134348571429,9.5508094122532
"domlem_conf08_15",3,-15.7849212857143,7.87497467634338
