"outer","utility_min","utility_max","utility_last"
1,13248.281949,21440.58735,21440.58735
2,17457.028224,22768.884677,22768.884677
3,20437.389171,24225.135487,24225.135487
4,22300.690228,25346.736085,25346.736085
5,23741.726057,26612.010011,26574.898402
6,25131.112664,27601.52716,27601.52716
7,25800.251556,28215.48809,28215.48809
8,27458.998466,28765.534002,28741.667528
9,27939.445428,29304.579314,29304.579314
10,28737.53185,29611.769542,29551.026665
11,28670.712198,29922.75222,29922.75222
12,29297.771444,30136.163301,30083.790841
13,29556.959193,30405.072845,30359.161483
14,29601.016561,30372.843717,30368.848429
15,29526.59302,30556.821289,30556.821289
16,29215.126631,30622.554405,30618.124501
17,29860.732875,30659.540079,30640.182298
18,29965.801361,30772.419105,30772.419105
19,30144.976982,30952.180814,30923.745845
