"test","outer","value_mean","value_sd"
"allrules_15",1,2935.8370968,63.4055557814454
"allrules_15",2,3189.6154182,72.3817171802092
"allrules_15",3,3340.6451075,63.0742643439481
"allrules_15",4,3443.6589571,69.3868896607148
"allrules_15",5,3519.8821127,52.7629575650095
"allrules_15",6,3592.7463129,39.2243187836991
"allrules_15",7,3662.8002688,40.9638578378149
"allrules_15",8,3711.7507985,40.4912707038697
"allrules_15",9,3754.2102284,47.3996713883333
"allrules_15",10,3804.0138861,43.9636589948518
"allrules_15",11,3831.4890023,40.9472974131607
"allrules_15",12,3853.1469378,34.3572347344481
"allrules_15",13,3871.0871721,31.1555792219705
"allrules_15",14,3891.0147441,31.8549848239202
"allrules_15",15,3909.5320982,21.7867254373922
"allrules_15",16,3924.5334642,28.7575179778429
"allrules_15",17,3934.0225801,32.6991186528426
"allrules_15",18,3946.17051,23.4339633677694
"allrules_15",19,3952.3639687,23.6914450559186
"allrules_3",1,2930.3729151,43.4055534427886
"allrules_3",2,3226.043986,63.4216963748351
"allrules_3",3,3414.8994287,55.4894838340705
"allrules_3",4,3531.6127482,49.1059562637242
"allrules_3",5,3622.5869813,41.8636361829697
"allrules_3",6,3693.2057066,43.6360424394219
"allrules_3",7,3757.6803864,42.0426077409040
"allrules_3",8,3794.5061346,37.4770122676035
"allrules_3",9,3827.2041527,26.8146841774862
"allrules_3",10,3865.2467296,31.9331831945381
"allrules_3",11,3892.6098171,29.7783783845930
"allrules_3",12,3910.7359101,28.5528572215938
"allrules_3",13,3938.6147537,20.5807381850283
"allrules_3",14,3951.6632778,24.1146374390651
"allrules_3",15,3961.8369395,26.2772664131775
"allrules_3",16,3971.0362267,26.7562576310297
"allrules_3",17,3976.3383157,29.364410607597
"allrules_3",18,3981.9272221,26.6918542872650
"allrules_3",19,3987.1687734,26.0728078390582
"domlem_15",1,2887.3830685,85.9554974183944
"domlem_15",2,3143.4148503,70.6942676875203
"domlem_15",3,3331.2974908,77.9015790619141
"domlem_15",4,3412.9671306,70.598723969067
"domlem_15",5,3481.8499379,70.0375915323734
"domlem_15",6,3552.1849973,76.055130785448
"domlem_15",7,3619.9534965,50.1307779629533
"domlem_15",8,3675.5186445,51.7983166557245
"domlem_15",9,3728.3770642,43.7653700623714
"domlem_15",10,3773.547101,53.1240419517253
"domlem_15",11,3822.3001326,39.2577736565426
"domlem_15",12,3856.7459062,43.5566866166177
"domlem_15",13,3887.6364176,41.1602956660085
"domlem_15",14,3919.8323393,38.1955233827993
"domlem_15",15,3935.2956477,41.5065850449807
"domlem_15",16,3948.7107314,42.287812844996
"domlem_15",17,3960.9450184,33.9264130285937
"domlem_15",18,3968.4707032,33.6744092442129
"domlem_15",19,3980.7366519,27.2809606395767
"domlem_15_conf06",1,2922.2384388,97.8734516262612
"domlem_15_conf06",2,3165.6778896,90.5982171274781
"domlem_15_conf06",3,3338.2173961,72.2720280227516
"domlem_15_conf06",4,3425.0674217,72.9044647203169
"domlem_15_conf06",5,3488.085448,67.839866801365
"domlem_15_conf06",6,3553.3645037,47.2568366541737
"domlem_15_conf06",7,3616.229091,44.7679665030459
"domlem_15_conf06",8,3675.6417883,39.1968781659053
"domlem_15_conf06",9,3739.7180117,47.4556360528126
"domlem_15_conf06",10,3783.6175079,46.1666682185436
"domlem_15_conf06",11,3828.2116209,43.384854759026
"domlem_15_conf06",12,3865.7265556,45.5036062559821
"domlem_15_conf06",13,3886.8688935,38.2674642768504
"domlem_15_conf06",14,3906.0114541,43.9913960731449
"domlem_15_conf06",15,3926.7886674,38.8189013903402
"domlem_15_conf06",16,3938.4190155,32.2331046534452
"domlem_15_conf06",17,3953.906291,37.5388776752492
"domlem_15_conf06",18,3964.9090062,31.8101498290636
"domlem_15_conf06",19,3971.5142526,30.1620783734146
"domlem_15_conf08",1,2919.1094315,70.57771104901
"domlem_15_conf08",2,3182.2736983,81.6407537957955
"domlem_15_conf08",3,3355.128292,69.7206310320028
"domlem_15_conf08",4,3437.1588743,56.7753064730111
"domlem_15_conf08",5,3513.4364712,72.5201053473671
"domlem_15_conf08",6,3569.8664386,56.790891285903
"domlem_15_conf08",7,3628.9020687,39.200092531947
"domlem_15_conf08",8,3657.260516,59.6500533615687
"domlem_15_conf08",9,3719.7522383,65.5595291881311
